activity_id,week,location_id,co_share_group
A001,22,PLAT:BET:S15:EB,g136
A001,22,PLAT:BET:S16:EB,g136
A001,22,PLAT:BET:S17:EB,g136
A001,22,SEC:BET:S15_S16:EB,g136
A001,22,SEC:BET:S16_S17:EB,g136
A017,23,PLAT:BET:H01:EB,g137
A017,23,PLAT:BET:H02:EB,g137
A017,23,PLAT:BET:S15:EB,g137
A017,23,PLAT:BET:S16:EB,g137
A017,23,SEC:BET:H01_H02:EB,g137
A017,23,SEC:BET:H02_S15:EB,g137
A017,23,SEC:BET:S15_S16:EB,g137
A042,23,PLAT:BET:S15:EB,g138
A042,23,PLAT:BET:S16:EB,g138
A042,23,PLAT:BET:S17:EB,g138
A042,23,PLAT:BET:S18:EB,g138
A042,23,SEC:BET:S15_S16:EB,g138
A042,23,SEC:BET:S16_S17:EB,g138
A042,23,SEC:BET:S17_S18:EB,g138
A072,23,PLAT:ALP:H01:EB,g139
A072,23,PLAT:ALP:H02:EB,g139
A072,23,PLAT:ALP:S04:EB,g139
A072,23,SEC:ALP:H01_H02:EB,g139
A072,23,SEC:ALP:S04_H01:EB,g139
A023,23,PLAT:ALP:S03:WB,g140
A023,23,PLAT:ALP:S04:WB,g140
A023,23,SEC:ALP:S03_S04:WB,g140
A013,23,PLAT:ALP:S05:WB,g141
A013,23,PLAT:ALP:S06:WB,g141
A013,23,SEC:ALP:S05_S06:WB,g141
A040,24,PLAT:BET:H01:EB,g142
A040,24,PLAT:BET:H02:EB,g142
A040,24,PLAT:BET:S15:EB,g142
A040,24,PLAT:BET:S16:EB,g142
A040,24,SEC:BET:H01_H02:EB,g142
A040,24,SEC:BET:H02_S15:EB,g142
A040,24,SEC:BET:S15_S16:EB,g142
A042,24,PLAT:BET:S15:EB,g143
A042,24,PLAT:BET:S16:EB,g143
A042,24,PLAT:BET:S17:EB,g143
A042,24,PLAT:BET:S18:EB,g143
A042,24,SEC:BET:S15_S16:EB,g143
A042,24,SEC:BET:S16_S17:EB,g143
A042,24,SEC:BET:S17_S18:EB,g143
A023,24,PLAT:ALP:S03:WB,g144
A023,24,PLAT:ALP:S04:WB,g144
A023,24,SEC:ALP:S03_S04:WB,g144
A013,24,PLAT:ALP:S05:WB,g145
A013,24,PLAT:ALP:S06:WB,g145
A013,24,SEC:ALP:S05_S06:WB,g145
A075,24,PLAT:BET:H01:WB,g146
A075,24,PLAT:BET:H02:WB,g146
A075,24,SEC:BET:H01_H02:WB,g146
A040,25,PLAT:BET:H01:EB,g147
A040,25,PLAT:BET:H02:EB,g147
A040,25,PLAT:BET:S15:EB,g147
A040,25,PLAT:BET:S16:EB,g147
A040,25,SEC:BET:H01_H02:EB,g147
A040,25,SEC:BET:H02_S15:EB,g147
A040,25,SEC:BET:S15_S16:EB,g147
A042,25,PLAT:BET:S15:EB,g148
A042,25,PLAT:BET:S16:EB,g148
A042,25,PLAT:BET:S17:EB,g148
A042,25,PLAT:BET:S18:EB,g148
A042,25,SEC:BET:S15_S16:EB,g148
A042,25,SEC:BET:S16_S17:EB,g148
A042,25,SEC:BET:S17_S18:EB,g148
A023,25,PLAT:ALP:S03:WB,g149
